Time #Deleted-#Scat #Deleted #Scattered
310 89922 90028 106
311 89906 90044 138
312 89920 90026 106
313 89894 89974 80
314 89899 89990 91
315 89907 90011 104
316 89911 90014 103
317 89902 90000 98
318 89897 89988 91
319 89915 90034 119
320 89918 90034 116
321 89914 90014 100
322 89908 90012 104
323 89894 90007 113
324 89909 90014 105
325 89907 90003 96
326 89924 90019 95
327 89918 90014 96
328 89915 90010 95
329 89915 90020 105
330 89925 90027 102
331 89920 90003 83
332 89925 90011 86
333 89907 90001 94
334 89923 90022 99
335 89909 90005 96
336 89916 90018 102
337 89903 89994 91
338 89921 90013 92
339 89925 90009 84
340 89924 90011 87
341 89917 90000 83
342 89920 90020 100
343 89918 90018 100
344 89905 89990 85
345 89937 90019 82
346 89928 90015 87
347 89915 90015 100
348 89924 90010 86
349 89916 90017 101
350 89929 90003 74
351 89934 90032 98
352 89916 90003 87
353 89919 90006 87
354 89918 90007 89
355 89930 90021 91
356 89927 90022 95
357 89926 90005 79
358 89932 90014 82
359 89919 89991 72
360 89936 90028 92
361 89937 90015 78
362 89923 89995 72
363 89927 90001 74
364 89927 90006 79
365 89926 90018 92
366 89944 90018 74
367 89929 90011 82
368 89938 90009 71
369 89945 90028 83
370 89933 90015 82
371 89925 90004 79
372 89935 90010 75
373 89944 90005 61
374 89939 90015 76
375 89923 90010 87
376 89924 89993 69
377 89940 90028 88
378 89927 90005 78
379 89943 90010 67
380 89943 90021 78
381 89937 90010 73
382 89930 89996 66
383 89938 89994 56
384 89949 90032 83
385 89929 90015 86
386 89926 89977 51
387 89933 89993 60
388 89933 89991 58
389 89951 90020 69
390 89945 90014 69
391 89938 90013 75
392 89933 90016 83
393 89942 89998 56
394 89944 90002 58
395 89941 90004 63
396 89951 90019 68
397 89949 90017 68
398 89949 90033 84
399 89921 89997 76
400 89943 90009 66
401 89944 90011 67
402 89928 89984 56
403 89945 90001 56
404 89937 90003 66
405 89941 90004 63
406 89940 90005 65
407 89946 90003 57
408 89940 90011 71
409 89957 90012 55
410 89946 90008 62
411 89955 90007 52
412 89938 90002 64
413 89956 90024 68
414 89937 90012 75
415 89934 89993 59
416 89951 90014 63
417 89951 90008 57
418 89962 90007 45
419 89948 89997 49
420 89963 90030 67
421 89941 90001 60
422 89946 89997 51
423 89949 90005 56
424 89949 90017 68
425 89950 90014 64
426 89950 90004 54
427 89939 89991 52
428 89953 90016 63
429 89965 90024 59
430 89954 90006 52
431 89945 90005 60
432 89954 90013 59
433 89957 90006 49
434 89961 90027 66
435 89939 89990 51
436 89949 89989 40
437 89955 90009 54
438 89958 90004 46
439 89956 90003 47
440 89951 89993 42
441 89963 90005 42
442 89953 90001 48
443 89960 90010 50
444 89962 90013 51
445 89953 90005 52
446 89962 90011 49
447 89958 90009 51
448 89958 90002 44
449 89950 90004 54
450 89970 90016 46
451 89955 90000 45
452 89943 89991 48
453 89953 89994 41
454 89956 89997 41
455 89962 90011 49
456 89956 90012 56
457 89959 90009 50
458 89960 90007 47
459 89967 90012 45
460 89965 90012 47
461 89960 90015 55
462 89955 90003 48
463 89964 90012 48
464 89961 90004 43
465 89957 90009 52
466 89965 90006 41
467 89956 89999 43
468 89962 90004 42
469 89955 90003 48
470 89956 89995 39
471 89953 90000 47
472 89953 90000 47
473 89960 90005 45
474 89953 89991 38
475 89973 90003 30
476 89948 89992 44
477 89967 90009 42
478 89973 90008 35
479 89968 90017 49
480 89963 90004 41
481 89964 90009 45
482 89977 90025 48
483 89962 90010 48
484 89963 90001 38
485 89956 89996 40
486 89963 90008 45
487 89954 89991 37
488 89960 89997 37
489 89967 89997 30
490 89965 90004 39
491 89972 90011 39
492 89964 90005 41
493 89962 90000 38
494 89973 90016 43
495 89965 90005 40
496 89961 90006 45
497 89972 90007 35
498 89964 90002 38
499 89962 89998 36
500 89972 90006 34
501 89968 90010 42
502 89970 90016 46
503 89955 89975 20
504 89966 90012 46
505 89962 89988 26
506 89966 90005 39
507 89970 90016 46
508 89964 90003 39
509 89975 90012 37
510 89978 90011 33
511 89970 90008 38
512 89973 90007 34
513 89974 90005 31
514 89974 90009 35
515 89969 89993 24
516 89969 90004 35
517 89970 90005 35
518 89973 90009 36
519 89972 90007 35
520 89973 90008 35
521 89963 89990 27
522 89968 89997 29
523 89971 90003 32
524 89968 90008 40
525 89961 89995 34
526 89974 90004 30
527 89972 90007 35
528 89973 90009 36
529 89965 90001 36
530 89970 90000 30
531 89970 90000 30
532 89979 90013 34
533 89973 90003 30
534 89964 89994 30
535 89982 90016 34
536 89979 90011 32
537 89969 89997 28
538 89973 90002 29
539 89978 90006 28
540 89980 90011 31
541 89977 90012 35
542 89964 89996 32
543 89978 90002 24
544 89979 90005 26
545 89968 89991 23
546 89974 90003 29
547 89967 89990 23
548 89974 89995 21
549 89985 90022 37
550 89979 90009 30
551 89974 90009 35
552 89967 90006 39
553 89980 90003 23
554 89971 90009 38
555 89967 89996 29
556 89978 90006 28
557 89961 89996 35
558 89963 89984 21
559 89975 89997 22
560 89974 90004 30
561 89978 90006 28
562 89983 90011 28
563 89982 90008 26
564 89976 89991 15
565 89978 90000 22
566 89973 89997 24
567 89975 90007 32
568 89979 90005 26
569 89971 90001 30
570 89979 90007 28
571 89977 89999 22
572 89979 90001 22
573 89971 89991 20
574 89976 89996 20
575 89978 90008 30
576 89976 89998 22
577 89979 90009 30
578 89984 90013 29
579 89976 89994 18
580 89982 90005 23
581 89979 90017 38
582 89978 90006 28
583 89975 89998 23
584 89977 90011 34
585 89971 89990 19
586 89975 89991 16
587 89971 89992 21
588 89978 89999 21
589 89983 90004 21
590 89980 90005 25
591 89971 89997 26
592 89978 89994 16
593 89983 90010 27
594 89976 89992 16
595 89984 90014 30
596 89981 90009 28
597 89984 90012 28
598 89976 90003 27
599 89973 90000 27
600 89977 90005 28
601 89983 90009 26
602 89975 89997 22
603 89975 89996 21
604 89981 89995 14
605 89979 89997 18
606 89984 89999 15
607 89975 90001 26
608 89980 90000 20
609 89978 90000 22
610 89977 90006 29
611 89991 90014 23
612 89978 90000 22
613 89981 90001 20
614 89986 90013 27
615 89979 90000 21
616 89982 90007 25
617 89981 90002 21
618 89982 90001 19
619 89984 90002 18
620 89984 90006 22
621 89981 89998 17
622 89977 89994 17
623 89984 90000 16
624 89988 90014 26
625 89983 90004 21
626 89982 90000 18
627 89985 90000 15
628 89985 90002 17
629 89967 89985 18
630 89980 90005 25
631 89984 89999 15
632 89977 89993 16
633 89981 90006 25
634 89984 90004 20
635 89985 90007 22
636 89985 90003 18
637 89982 90001 19
638 89981 89997 16
639 89988 90010 22
640 89986 90006 20
641 89983 90004 21
642 89976 89998 22
643 89988 90004 16
644 89985 90001 16
645 89982 89995 13
646 89991 90003 12
647 89990 90006 16
648 89983 90007 24
649 89979 89999 20
650 89986 90009 23
651 89985 89998 13
652 89984 90001 17
653 89985 89997 12
654 89987 90002 15
655 89980 89996 16
656 89980 89998 18
657 89981 89997 16
658 89981 90007 26
659 89983 90000 17
660 89987 90001 14
661 89985 90011 26
662 89986 90005 19
663 89982 89999 17
664 89985 90004 19
665 89985 90006 21
666 89972 89991 19
667 89990 90006 16
668 89990 90007 17
669 89986 90001 15
670 89983 89998 15
671 89987 89997 10
672 89987 90005 18
673 89981 89997 16
674 89981 89993 12
675 89993 90007 14
676 89982 89999 17
677 89987 90003 16
678 89981 89996 15
679 89983 90001 18
680 89986 90008 22
681 89985 90001 16
682 89985 90005 20
683 89984 89999 15
684 89982 90000 18
685 89984 89997 13
686 89986 90001 15
687 89992 90004 12
688 89991 90006 15
689 89987 90011 24
690 89986 90000 14
691 89983 90009 26
692 89979 89992 13
693 89985 90000 15
694 89978 89990 12
695 89987 90001 14
696 89990 90002 12
697 89987 90008 21
698 89987 90009 22
699 89990 90003 13
700 89984 90004 20
701 89985 90000 15
702 89991 90002 11
703 89981 89999 18
704 89987 90007 20
705 89979 89996 17
706 89989 89998 9
707 89989 90003 14
708 89987 89999 12
709 89986 90000 14
710 89991 90004 13
711 89985 89994 9
712 89993 90006 13
713 89994 90008 14
714 89991 90007 16
715 89978 89993 15
716 89988 89999 11
